City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,chinde,26.8418,88.0763,54.99,42,1,5.01,NP,1710194581
332,souillac,-20.5167,57.5167,73.35,81,98,11.14,MU,1710194582
333,lukolela,-1.0605,17.1821,74.21,87,76,3.31,CD,1710194489
334,clifton,40.8584,-74.1638,53.37,24,0,13.8,US,1710194463
335,toliara,-23.35,43.6667,80.2,81,100,3.91,MG,1710194582
336,mount pearl,47.5166,-52.7813,34.84,97,100,29.93,CA,1710194434
337,erbil,36.1926,44.0106,42.62,75,0,4.61,IQ,1710194345
338,riverton,40.5219,-111.9391,56.86,44,100,24.16,US,1710194582
339,tadine,-21.55,167.8833,78.76,86,99,25.59,NC,1710194475
340,wenling,28.3669,121.36,47.64,89,0,4.41,CN,1710194405
341,aginskoye,51.1,114.53,25.95,74,100,15.1,RU,1710194446
342,hastings,50.8552,0.5729,47.52,88,100,7.49,GB,1710194583
343,nemuro,43.3236,145.575,31.51,91,100,6.71,JP,1710194451
344,coahuayana de hidalgo,18.7,-103.6583,86.0,47,17,7.38,MX,1710194583
345,peniche,39.3558,-9.3811,52.45,90,0,5.79,PT,1710194411
346,itapaci,-14.9508,-49.5494,77.23,82,92,2.44,BR,1710194583
347,brazzaville,-4.2658,15.2832,76.51,80,66,1.52,CG,1710194584
348,zara,44.1197,15.2422,43.41,93,40,3.44,HR,1710194459
349,darabani,48.1833,26.5833,39.2,78,100,20.36,RO,1710194584
350,moju,-1.8839,-48.7689,77.0,96,100,2.95,BR,1710194584
351,ulety,51.3572,112.4849,20.71,85,92,5.26,RU,1710194585
352,kiunga,-6.1219,141.2906,74.68,99,100,3.83,PG,1710194585
353,freetown,8.484,-13.2299,82.11,65,65,13.8,SL,1710194347
354,al jawf,29.5,38.75,56.66,28,0,5.88,SA,1710194585
355,baiti,13.745,-14.7482,91.63,13,57,13.42,SN,1710194585
356,ma'an,26.9775,110.7211,53.78,86,95,0.36,CN,1710194586
357,konkwesso,10.8469,4.0984,93.54,27,62,1.5,NG,1710194586
358,sosnogorsk,63.6023,53.8817,-4.47,100,88,3.0,RU,1710194586
359,prado,-17.3411,-39.2208,79.38,89,87,7.56,BR,1710194586
360,tocopilla,-22.092,-70.1979,68.5,81,27,11.12,CL,1710194452
361,ulaangom,49.9811,92.0667,-0.58,87,52,3.87,MN,1710194586
362,greymouth,-42.4667,171.2,59.54,88,100,2.77,NZ,1710194298
363,estrela,-28.0611,-50.9383,67.59,76,0,3.22,BR,1710194587
